2025-10-09 08:00:35,580 - WARNING - Failed to fetch port stats for switch 26, using defaults
2025-10-09 08:00:35,593 - WARNING - Failed to fetch port stats for switch 31, using defaults
2025-10-09 08:00:35,646 - WARNING - Failed to fetch port stats for switch 11, using defaults
2025-10-09 08:00:35,660 - WARNING - Failed to fetch port stats for switch 20, using defaults
2025-10-09 08:00:35,685 - WARNING - Failed to fetch port stats for switch 37, using defaults
2025-10-09 08:00:35,701 - WARNING - Failed to fetch port stats for switch 36, using defaults
2025-10-09 08:00:35,719 - WARNING - Failed to fetch port stats for switch 23, using defaults
2025-10-09 08:00:35,743 - WARNING - Failed to fetch port stats for switch 2, using defaults
2025-10-09 08:00:35,806 - WARNING - Failed to fetch port stats for switch 17, using defaults
2025-10-09 08:00:35,878 - WARNING - Failed to fetch port stats for switch 1, using defaults
2025-10-09 08:00:35,903 - WARNING - Failed to fetch port stats for switch 39, using defaults
2025-10-09 08:00:35,919 - WARNING - Failed to fetch port stats for switch 18, using defaults
2025-10-09 08:00:35,990 - WARNING - Failed to fetch port stats for switch 41, using defaults
2025-10-09 08:00:36,060 - WARNING - Failed to fetch port stats for switch 12, using defaults
2025-10-09 08:00:36,096 - WARNING - Failed to fetch port stats for switch 46, using defaults
2025-10-09 08:00:36,172 - WARNING - Failed to fetch port stats for switch 4, using defaults
2025-10-09 08:00:36,198 - WARNING - Failed to fetch port stats for switch 28, using defaults
2025-10-09 08:00:36,217 - WARNING - Failed to fetch port stats for switch 38, using defaults
2025-10-09 08:00:36,232 - WARNING - Failed to fetch port stats for switch 45, using defaults
2025-10-09 08:00:36,275 - WARNING - Failed to fetch port stats for switch 27, using defaults
2025-10-09 08:00:36,302 - WARNING - Failed to fetch port stats for switch 19, using defaults
2025-10-09 08:00:36,339 - WARNING - Failed to fetch port stats for switch 5, using defaults
2025-10-09 08:00:36,351 - WARNING - Failed to fetch port stats for switch 47, using defaults
2025-10-09 08:00:36,422 - WARNING - Failed to fetch port stats for switch 24, using defaults
2025-10-09 08:00:36,439 - WARNING - Failed to fetch port stats for switch 25, using defaults
2025-10-09 08:00:36,519 - WARNING - Failed to fetch port stats for switch 43, using defaults
2025-10-09 08:00:36,545 - WARNING - Failed to fetch port stats for switch 40, using defaults
2025-10-09 08:00:36,583 - WARNING - Failed to fetch port stats for switch 15, using defaults
2025-10-09 08:00:36,601 - WARNING - Failed to fetch port stats for switch 34, using defaults
2025-10-09 08:00:36,678 - WARNING - Failed to fetch port stats for switch 6, using defaults
2025-10-09 08:00:36,693 - WARNING - Failed to fetch port stats for switch 44, using defaults
2025-10-09 08:00:36,709 - WARNING - Failed to fetch port stats for switch 30, using defaults
2025-10-09 08:00:36,734 - WARNING - Failed to fetch port stats for switch 8, using defaults
2025-10-09 08:00:36,760 - WARNING - Failed to fetch port stats for switch 21, using defaults
2025-10-09 08:00:36,801 - WARNING - Failed to fetch port stats for switch 13, using defaults
2025-10-09 08:00:36,823 - WARNING - Failed to fetch port stats for switch 32, using defaults
2025-10-09 08:00:36,840 - WARNING - Failed to fetch port stats for switch 29, using defaults
2025-10-09 08:00:36,877 - WARNING - Failed to fetch port stats for switch 33, using defaults
2025-10-09 08:00:36,913 - WARNING - Failed to fetch port stats for switch 14, using defaults
2025-10-09 08:00:36,945 - WARNING - Failed to fetch port stats for switch 7, using defaults
2025-10-09 08:00:36,960 - WARNING - Failed to fetch port stats for switch 244866307128911, using defaults
2025-10-09 08:00:36,972 - WARNING - Failed to fetch port stats for switch 35, using defaults
2025-10-09 08:00:37,005 - WARNING - Failed to fetch port stats for switch 22, using defaults
2025-10-09 08:00:37,025 - WARNING - Failed to fetch port stats for switch 42, using defaults
2025-10-09 08:00:37,041 - WARNING - Failed to fetch port stats for switch 9, using defaults
2025-10-09 08:00:37,055 - WARNING - Failed to fetch port stats for switch 3, using defaults
2025-10-09 08:00:37,067 - WARNING - Failed to fetch port stats for switch 10, using defaults
